SOx,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
PRI,30.54509958,30.55113928,30.54817471,30.56345549,30.58696,2.100708,0.755502055,2.555570006,2.220711325,1.964976565,1.377556,1.541309608,1.819823012,1.987997776,1.641969778,3.447664,2.027909632,0.696992132,11.37183722,2.032823973,1.346382097,0.045,0.044,0.047,0.034,0.014,0.0038,0.003
STF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUC,1.0735,1.074,1.0745,1.075,1.0755,0.2788,0.195997812,0.16511013,0.134041589,0.137118551,0.055,0.053647816,0.066944072,0.091164816,0.134411378,0.107,0.109148432,0.103184565,0.093365206,0.073657858,0.067,,,,,,,
HUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMS,280.6468415,290.464331,307.44919,298.4146905,295.7043407,290.0275809,283.3780642,276.9745476,270.573297,265.7823657,261.345643,245.5473099,230.4566193,214.7329446,212.9518913,193.646602,196.4037271,186.6520467,188.3766414,187.6259414,187.3595782,,,,,,,
AGR,0.003951521,0.003951521,0.003979617,0.003752133,0.003806511,0.003625249,0.004250604,0.004250604,0.003142627,0.004270749,0.003424658,0.004875101,0.004270749,0.004149879,0.005278002,0.005,0.005,0.005,0.005084379,0.005084379,0.005084379,,,,,,10087.20094,15061.64978
COO,,,,,,,,,,,,,,,,,,,,755.9874029,1361.882021,9225.607643,517.9795092,4701.660641,14104.55658,16962.70986,6908.484122,6908.484122
DFPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,549.2863234,551.0649743,554.7628592,558.0421451,561.6675822,564.8142194,515.4522423,516.7445999,517.6568015,518.969301,643.7854895,540.08548,526.1343218,574.6740694,576.1619773,509.309161,654.4607781,830.7464213,648.2884989,523.3773813,381.1531844,376.263851,415.0266605,376.3496605,532.1376605,353.0636617,381.1907883,504.0061769
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRB,3569.020387,356.700899,4304.823224,356.700899,356.700899,3455.927343,1751.658448,1122.890191,1959.634001,1761.721324,1738.623696,804.472369,681.709983,623.0337204,616.8806178,497.8380183,375.4762,282.2315213,165.4234385,94.30326233,11.77988206,7.7908384,4.102907,10.0772831,31.13,9.55,14.47,30.294215
